"功能需求
至少要细化到二级模块才可以进行评估",,,,"人员角色
根据模块实际需要添加或修改角色，项目经理每个细分模块至少分配1人天，交付能力系数为现有团队角色的能力评估，如评估时还没有现有人员作为参考，最小为1.5。",,,,,,,,,,,"调整因子
只细化到二级模块的情况下，范围因子最小1.5",,,"平均单价
（万元）","费用预估
（万元）","备注
（写异常因素及未考虑到的风险点）"
一级模块,二级模块,三级模块,功能说明,项目经理,技术经理,UI,DBA,产品经理,后端,前端,测试,实施,交付系数,"工时
（人/天）",评分因子,范围变更因子,专业技术因子,,,
碳资产管理子系统,(1) 碳资产总览,能碳量汇总展示,系统支持全区能碳量汇总并展示，包括能耗及碳排放数据、碳减排项目的具体情况，同时详细列出碳减排量等关键信息，为管理者提供一个全面的能碳总览视图。,1.5,1.2,0.8,0.5,1,2.5,1.8,1.2,0.8,0.7,7.91,1.39,1,0.9,0.16,1.5832656,
,(1) 碳资产总览,碳排放数据展示,系统支持汇总并全面展示园区的碳排放数据功能，系统能够按能源种类、部门、时间等多个维度进行灵活筛选与查询。,1,0.8,0.6,0.3,0.8,2,1.5,1,0.6,0.7,6.02,1.39,1,0.9,0.16,1.2049632,
,(1) 碳资产总览,能源消耗数据展示,系统支持基于园区能源消耗量汇总并全面展示园区的能源消耗数据功能，按能源种类、部门、时间等多个维度进行灵活筛选与查询。,1,0.8,0.6,0.3,0.8,2,1.5,1,0.6,0.7,6.02,1.39,1,0.9,0.16,1.2049632,
,(1) 碳资产总览,碳流桑基图,系统提供基于碳排放数据的分析结果生成园区的碳流桑基图功能，以图表化形式直观展示园区碳排放组成结构、流向、体量等。,0.8,1,1.2,0.2,0.6,1.5,2,0.8,0.4,0.7,5.95,1.39,1,0.9,0.16,1.190952,
,(2) 碳资产管理,排放源配置,系统支持园区根据自身行业类型及排放源种类配置排放源品种功能。,0.6,0.8,0.4,0.2,0.6,1.2,0.8,0.6,0.3,0.7,3.85,1.39,1,0.9,0.16,0.770616,
,(2) 碳资产管理,核算方法指南,系统提供内置多行业碳排放核算方法指南，支持园区根据自身所属的行业类型及实际排放源种类，灵活配置排放源品种。,1,1.5,0.6,0.4,1,2.5,1,1,0.5,0.7,6.65,1.39,1,0.9,0.16,1.331064,
,(2) 碳资产管理,碳排放记录管理,系统提供碳排放记录管理功能，支持用户对碳排放数据进行全面的查询及导出操作。,0.5,0.6,0.3,0.2,0.5,1,0.8,0.5,0.3,0.7,3.29,1.39,1,0.9,0.16,0.6585264,
,(2) 碳资产管理,碳排放报告管理,系统提供碳排放报告管理功能，支持用户对碳排放报告进行便捷的查询及导出操作，系统还支持将报告导出为多种格式文件，如PDF等。,0.8,1,0.5,0.3,0.8,1.5,1,0.8,0.4,0.7,4.97,1.39,1,0.9,0.16,0.9947952,
,(2) 碳资产管理,碳排放强度计算,系统支持根据园区报送数据及采集数据，运用先进的算法和模型，自动进行数据处理与分析，实现园区碳排放强度计算功能。,1,1.5,0.4,0.4,1,2.5,0.8,1,0.5,0.7,6.37,1.39,1,0.9,0.16,1.2750192,
