row_no,source_section,province,site_name,url,normalized_url,soft_match_key,effective_soft_match_key,candidate_source_level,candidate_platform_type,candidate_action,action_reason,xml_strict_url_dup_count,xml_name_dup_count,xml_soft_dup_count,review_bucket,db_match_type,db_match_count,existing_id,existing_name,existing_url,existing_normalized_url,existing_source_level,existing_platform_type,recommended_batch,recommended_action
6,央采军队采购平台,,中共中央直属机关采购中心,http://www.zzcg.gov.cn/,http://www.zzcg.gov.cn/,www.zzcg.gov.cn,www.zzcg.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
7,央采军队采购平台,,中国海关政府采购网,http://hgcg.customs.gov.cn/,http://hgcg.customs.gov.cn/,hgcg.customs.gov.cn,hgcg.customs.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
8,央采军队采购平台,,中国人民银行集中采购中心,https://jzcg.pbc.gov.cn/,https://jzcg.pbc.gov.cn/,jzcg.pbc.gov.cn,jzcg.pbc.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
9,央采军队采购平台,,全国人大机关采购中心,https://ww.ccgp.gov.cn/qgrd/,https://ww.ccgp.gov.cn/qgrd/,ww.ccgp.gov.cn/qgrd,ww.ccgp.gov.cn/qgrd,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
10,央采军队采购平台,,税务采购网,https://swcg.chinatax.gov.cn/,https://swcg.chinatax.gov.cn/,swcg.chinatax.gov.cn,swcg.chinatax.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
11,央采军队采购平台,,军队采购网,https://www.plap.mil.cn/,https://www.plap.mil.cn/,www.plap.mil.cn,www.plap.mil.cn,国家级,军采,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
12,央采军队采购平台,,军网自采平台,https://zc.plap.mil.cn/,https://zc.plap.mil.cn/,zc.plap.mil.cn,zc.plap.mil.cn,国家级,待判定,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
23,省市自治区政采、公共资源平台,天津市,天津市政府采购中心,http://tjgpc.zwfwb.tj.gov.cn/,http://tjgpc.zwfwb.tj.gov.cn/,tjgpc.zwfwb.tj.gov.cn,tjgpc.zwfwb.tj.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
25,省市自治区政采、公共资源平台,河北省,河北省公共资源交易服务平台,http://ggzy.hebei.gov.cn/hbggfwpt/,http://ggzy.hebei.gov.cn/hbggfwpt/,ggzy.hebei.gov.cn/hbggfwpt,ggzy.hebei.gov.cn/hbggfwpt,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
28,省市自治区政采、公共资源平台,山西省,山西公共资源交易平台,https://prec.sxzwfw.gov.cn/,https://prec.sxzwfw.gov.cn/,prec.sxzwfw.gov.cn,prec.sxzwfw.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
31,省市自治区政采、公共资源平台,辽宁省,辽宁公共资源交易服务平台,http://www.lnggzy.gov.cn/lnggzy/,http://www.lnggzy.gov.cn/lnggzy/,www.lnggzy.gov.cn/lnggzy,www.lnggzy.gov.cn/lnggzy,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
32,省市自治区政采、公共资源平台,辽宁省,辽宁政府采购网,http://www.ccgp-liaoning.gov.cn/,http://www.ccgp-liaoning.gov.cn/,www.ccgp-liaoning.gov.cn,www.ccgp-liaoning.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
34,省市自治区政采、公共资源平台,吉林省,吉林公共资源交易服务平台,http://www.ggzyzx.jl.gov.cn/,http://www.ggzyzx.jl.gov.cn/,www.ggzyzx.jl.gov.cn,www.ggzyzx.jl.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
41,省市自治区政采、公共资源平台,江苏省,江苏公共资源交易服务平台,http://jsggzy.jszwfw.gov.cn/,http://jsggzy.jszwfw.gov.cn/,jsggzy.jszwfw.gov.cn,jsggzy.jszwfw.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
44,省市自治区政采、公共资源平台,浙江省,浙江公共资源交易服务平台,https://ggzy.zj.gov.cn/,https://ggzy.zj.gov.cn/,ggzy.zj.gov.cn,ggzy.zj.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
45,省市自治区政采、公共资源平台,浙江省,浙江政府采购网,https://zfcg.czt.zj.gov.cn/,https://zfcg.czt.zj.gov.cn/,zfcg.czt.zj.gov.cn,zfcg.czt.zj.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
51,省市自治区政采、公共资源平台,福建省,福建省政府采购网,https://zfcg.czt.fujian.gov.cn/,https://zfcg.czt.fujian.gov.cn/,zfcg.czt.fujian.gov.cn,zfcg.czt.fujian.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
53,省市自治区政采、公共资源平台,江西省,江西省公共资源交易服务平台,https://www.jxsggzy.cn/,https://www.jxsggzy.cn/,www.jxsggzy.cn,www.jxsggzy.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
57,省市自治区政采、公共资源平台,山东省,山东政府采购网,http://www.ccgp-shandong.gov.cn/sdgp2017/site/index.jsp,http://www.ccgp-shandong.gov.cn/sdgp2017/site/index.jsp,www.ccgp-shandong.gov.cn/sdgp2017/site/index.jsp,www.ccgp-shandong.gov.cn/sdgp2017/site/index.jsp,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
59,省市自治区政采、公共资源平台,河南省,河南省公共资源交易中心,https://hnsggzyfwpt.hndrc.gov.cn/,https://hnsggzyfwpt.hndrc.gov.cn/,hnsggzyfwpt.hndrc.gov.cn,hnsggzyfwpt.hndrc.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
62,省市自治区政采、公共资源平台,湖北省,湖北公共资源交易中心,https://www.hbggzyfwpt.cn/,https://www.hbggzyfwpt.cn/,www.hbggzyfwpt.cn,www.hbggzyfwpt.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
68,省市自治区政采、公共资源平台,广东省,广东公共资源交易服务平台,https://ygp.gdzwfw.gov.cn/,https://ygp.gdzwfw.gov.cn/,ygp.gdzwfw.gov.cn,ygp.gdzwfw.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
73,省市自治区政采、公共资源平台,海南省,海南政府采购网,https://ccgp-hainan.gov.cn/,https://ccgp-hainan.gov.cn/,ccgp-hainan.gov.cn,ccgp-hainan.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
77,省市自治区政采、公共资源平台,四川省,四川公共资源交易服务平台,https://ggzyjy.sc.gov.cn/,https://ggzyjy.sc.gov.cn/,ggzyjy.sc.gov.cn,ggzyjy.sc.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
80,省市自治区政采、公共资源平台,贵州省,贵州政府采购网,http://www.ccgp-guizhou.gov.cn/,http://www.ccgp-guizhou.gov.cn/,www.ccgp-guizhou.gov.cn,www.ccgp-guizhou.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
82,省市自治区政采、公共资源平台,云南省,云南公共资源交易服务平台,https://ggzy.yn.gov.cn/homePage,https://ggzy.yn.gov.cn/homePage,ggzy.yn.gov.cn/homepage,ggzy.yn.gov.cn/homePage,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
83,省市自治区政采、公共资源平台,云南省,云南政府采购网,http://www.yngp.com/,http://www.yngp.com/,www.yngp.com,www.yngp.com,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
86,省市自治区政采、公共资源平台,陕西省,陕西省政府采购网,http://www.ccgp-shaanxi.gov.cn/cms-sx/site/shanxi/index.html,http://www.ccgp-shaanxi.gov.cn/cms-sx/site/shanxi/index.html,www.ccgp-shaanxi.gov.cn/cms-sx/site/shanxi/index.html,www.ccgp-shaanxi.gov.cn/cms-sx/site/shanxi/index.html,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
91,省市自治区政采、公共资源平台,青海省,青海公共资源交易网,http://www.qhggzyjy.gov.cn/ggzy/,http://www.qhggzyjy.gov.cn/ggzy/,www.qhggzyjy.gov.cn/ggzy,www.qhggzyjy.gov.cn/ggzy,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
94,省市自治区政采、公共资源平台,西藏自治区,西藏公共资源交易服务平台,https://ggzy.xizang.gov.cn/,https://ggzy.xizang.gov.cn/,ggzy.xizang.gov.cn,ggzy.xizang.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
97,省市自治区政采、公共资源平台,内蒙古自治区,内蒙古公共资源交易网,https://ggzyjy.nmg.gov.cn/,https://ggzyjy.nmg.gov.cn/,ggzyjy.nmg.gov.cn,ggzyjy.nmg.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
100,省市自治区政采、公共资源平台,广西壮族自治区,广西公共资源交易服务平台,http://ggzy.jgswj.gxzf.gov.cn/gxggzy/,http://ggzy.jgswj.gxzf.gov.cn/gxggzy/,ggzy.jgswj.gxzf.gov.cn/gxggzy,ggzy.jgswj.gxzf.gov.cn/gxggzy,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
101,省市自治区政采、公共资源平台,广西壮族自治区,广西政府采购网,http://zfcg.gxzf.gov.cn/,http://zfcg.gxzf.gov.cn/,zfcg.gxzf.gov.cn,zfcg.gxzf.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
