row_no,source_section,province,site_name,url,normalized_url,soft_match_key,effective_soft_match_key,candidate_source_level,candidate_platform_type,candidate_action,action_reason,xml_strict_url_dup_count,xml_name_dup_count,xml_soft_dup_count,review_bucket,db_match_type,db_match_count,existing_id,existing_name,existing_url,existing_normalized_url,existing_source_level,existing_platform_type,recommended_batch,recommended_action
1,全国公共平台,,中国政府采购网,https://www.ccgp.gov.cn/,https://www.ccgp.gov.cn/,www.ccgp.gov.cn,www.ccgp.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,3,中国政府采购网,https://www.ccgp.gov.cn,https://www.ccgp.gov.cn,国家级,官方核心,B-现有库归并,merge_soft_match
2,全国公共平台,,全国公共资源交易平台,http://www.ggzy.gov.cn/,http://www.ggzy.gov.cn/,www.ggzy.gov.cn,www.ggzy.gov.cn,国家级,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,5,全国公共资源交易平台,https://www.ggzy.gov.cn,https://www.ggzy.gov.cn,国家级,官方核心,B-现有库归并,merge_soft_match
3,全国公共平台,,中国招标投标公共服务平台,http://www.cebpubservice.com/,http://www.cebpubservice.com/,www.cebpubservice.com,www.cebpubservice.com,国家级,招标采购平台,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,2,中国招标投标公共服务平台,https://www.cebpubservice.com,https://www.cebpubservice.com,国家级,官方核心,B-现有库归并,merge_soft_match
5,央采军队采购平台,,中央政府采购网,https://www.zycg.gov.cn/,https://www.zycg.gov.cn/,www.zycg.gov.cn,www.zycg.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,4,中央政府采购网,https://www.zycg.gov.cn,https://www.zycg.gov.cn,国家级,官方核心,B-现有库归并,merge_soft_match
15,省市自治区政采、公共资源平台,北京市,北京市公共资源交易服务平台,https://ggzyfw.beijing.gov.cn/,https://ggzyfw.beijing.gov.cn/,ggzyfw.beijing.gov.cn,ggzyfw.beijing.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,15,北京市公共资源交易服务平台,https://ggzyfw.beijing.gov.cn,https://ggzyfw.beijing.gov.cn,地方省市,公共资源交易,B-现有库归并,merge_soft_match
16,省市自治区政采、公共资源平台,北京市,北京市政府采购网,http://www.ccgp-beijing.gov.cn/,http://www.ccgp-beijing.gov.cn/,www.ccgp-beijing.gov.cn,www.ccgp-beijing.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,16,北京市政府采购网,http://www.ccgp-beijing.gov.cn,http://www.ccgp-beijing.gov.cn,地方省市,政府采购,B-现有库归并,merge_soft_match
18,省市自治区政采、公共资源平台,上海市,上海公共资源交易中心,https://www.shggzy.com,https://www.shggzy.com,www.shggzy.com,www.shggzy.com,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,strict_match,1,7,上海市公共资源交易中心,https://www.shggzy.com,https://www.shggzy.com,地方省市,公共资源交易,B-现有库归并,merge_strict_match
19,省市自治区政采、公共资源平台,上海市,上海政府采购网,https://www.zfcg.sh.gov.cn/,https://www.zfcg.sh.gov.cn/,www.zfcg.sh.gov.cn,www.zfcg.sh.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,8,上海市政府采购网,http://www.zfcg.sh.gov.cn,http://www.zfcg.sh.gov.cn,地方省市,政府采购,B-现有库归并,merge_soft_match
21,省市自治区政采、公共资源平台,天津市,天津市公共资源交易服务平台,http://ggzy.zwfwb.tj.gov.cn/,http://ggzy.zwfwb.tj.gov.cn/,ggzy.zwfwb.tj.gov.cn,ggzy.zwfwb.tj.gov.cn,地方省市,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,21,天津市公共资源交易平台,http://ggzy.zwfwb.tj.gov.cn,http://ggzy.zwfwb.tj.gov.cn,地方省市,公共资源交易,B-现有库归并,merge_soft_match
22,省市自治区政采、公共资源平台,天津市,天津市政府采购网,http://www.ccgp-tianjin.gov.cn/,http://www.ccgp-tianjin.gov.cn/,www.ccgp-tianjin.gov.cn,www.ccgp-tianjin.gov.cn,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,22,天津市政府采购网,http://www.ccgp-tianjin.gov.cn,http://www.ccgp-tianjin.gov.cn,地方省市,政府采购,B-现有库归并,merge_soft_match
26,省市自治区政采、公共资源平台,河北省,河北省政府采购网,http://www.ccgp-hebei.gov.cn/province/,http://www.ccgp-hebei.gov.cn/province/,www.ccgp-hebei.gov.cn/province,www.ccgp-hebei.gov.cn/province,地方省市,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,43,中国河北政府采购网,https://www.ccgp-hebei.gov.cn/province,https://www.ccgp-hebei.gov.cn/province,地方省市,政府采购,B-现有库归并,merge_soft_match
