row_no,source_section,province,site_name,url,normalized_url,soft_match_key,effective_soft_match_key,candidate_source_level,candidate_platform_type,candidate_action,action_reason,xml_strict_url_dup_count,xml_name_dup_count,xml_soft_dup_count,review_bucket,db_match_type,db_match_count,existing_id,existing_name,existing_url,existing_normalized_url,existing_source_level,existing_platform_type,recommended_batch,recommended_action
1,全国公共平台,,中国政府采购网,https://www.ccgp.gov.cn/,https://www.ccgp.gov.cn/,www.ccgp.gov.cn,www.ccgp.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,3,中国政府采购网,https://www.ccgp.gov.cn,https://www.ccgp.gov.cn,国家级,官方核心,B-现有库归并,merge_soft_match
2,全国公共平台,,全国公共资源交易平台,http://www.ggzy.gov.cn/,http://www.ggzy.gov.cn/,www.ggzy.gov.cn,www.ggzy.gov.cn,国家级,公共资源交易,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,5,全国公共资源交易平台,https://www.ggzy.gov.cn,https://www.ggzy.gov.cn,国家级,官方核心,B-现有库归并,merge_soft_match
3,全国公共平台,,中国招标投标公共服务平台,http://www.cebpubservice.com/,http://www.cebpubservice.com/,www.cebpubservice.com,www.cebpubservice.com,国家级,招标采购平台,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,2,中国招标投标公共服务平台,https://www.cebpubservice.com,https://www.cebpubservice.com,国家级,官方核心,B-现有库归并,merge_soft_match
4,全国公共平台,,全国投资项目在线审批监管平台,https://new.tzxm.gov.cn/,https://new.tzxm.gov.cn/,new.tzxm.gov.cn,new.tzxm.gov.cn,国家级,审批监管,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1,exclude_noise,no_match,0,,,,,,,E-排除,exclude
5,央采军队采购平台,,中央政府采购网,https://www.zycg.gov.cn/,https://www.zycg.gov.cn/,www.zycg.gov.cn,www.zycg.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,soft_match,1,4,中央政府采购网,https://www.zycg.gov.cn,https://www.zycg.gov.cn,国家级,官方核心,B-现有库归并,merge_soft_match
6,央采军队采购平台,,中共中央直属机关采购中心,http://www.zzcg.gov.cn/,http://www.zzcg.gov.cn/,www.zzcg.gov.cn,www.zzcg.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
7,央采军队采购平台,,中国海关政府采购网,http://hgcg.customs.gov.cn/,http://hgcg.customs.gov.cn/,hgcg.customs.gov.cn,hgcg.customs.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
8,央采军队采购平台,,中国人民银行集中采购中心,https://jzcg.pbc.gov.cn/,https://jzcg.pbc.gov.cn/,jzcg.pbc.gov.cn,jzcg.pbc.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
9,央采军队采购平台,,全国人大机关采购中心,https://ww.ccgp.gov.cn/qgrd/,https://ww.ccgp.gov.cn/qgrd/,ww.ccgp.gov.cn/qgrd,ww.ccgp.gov.cn/qgrd,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
10,央采军队采购平台,,税务采购网,https://swcg.chinatax.gov.cn/,https://swcg.chinatax.gov.cn/,swcg.chinatax.gov.cn,swcg.chinatax.gov.cn,国家级,政府采购,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
11,央采军队采购平台,,军队采购网,https://www.plap.mil.cn/,https://www.plap.mil.cn/,www.plap.mil.cn,www.plap.mil.cn,国家级,军采,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
12,央采军队采购平台,,军网自采平台,https://zc.plap.mil.cn/,https://zc.plap.mil.cn/,zc.plap.mil.cn,zc.plap.mil.cn,国家级,待判定,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,main_site_candidate,no_match,0,,,,,,,A-直接补充主站,add_candidate
13,央采军队采购平台,,军队药材集中采购交易系统,http://211.166.247.119/cas/login,http://211.166.247.119/cas/login,211.166.247.119/cas/login,211.166.247.119/cas/login,国家级,登录入口,exclude,疑似登录页、审批/商城/超市类入口，不适合作为主站点库导入,1,1,1,exclude_noise,no_match,0,,,,,,,E-排除,exclude
14,央采军队采购平台,,政采云军采版,https://www.jc.zcygov.cn/,https://www.jc.zcygov.cn/,www.jc.zcygov.cn,www.jc.zcygov.cn,国家级,军采,keep,符合公共资源/政府采购/央采主站点特征，可作为补充候选,1,1,1,cloud_platform_variant,no_match,0,,,,,,,C-企业招投标与云平台审查,manual_review_high
